PARK NUMBER,PARK NAME,STREET ADDRESS,ZIP,ACRES,WARD,PARK CLASS,LABEL,WHEELCHAIR ACCESSIBLE BALL FIELDS,ALFRED CALDWELL LILY POND,ARCHERY RANGE,ARTIFICIAL TURF FIELDS,BAND SHELL,BASEBALL BATTING CAGES,BASKETBALL BACKBOARDS,BASKETBALL COURTS,BEACH,BOAT LAUNCH (MOTORIZED),BOAT LAUNCH (NON-MOTORIZED),BOAT SLIPS,BOCCE COURT,BOWLING GREEN,CASTING AREA,CHESS PAVILLION,FOOTBALL SOCCER COMBO,COMMUNITY GARDEN,CONSERVATORY,CULTURAL CENTER,DOG-FRIENDLY,FITNESS CENTER,FITNESS COURSES,GALLERY,GARDEN,GOLF COURSE,GOLF DRIVING RANGE,GOLF PUTTING GREENS,GYMNASIUM,GYMNASTIC CENTERS,HANDBALL/RAQUETBALL COURT,HANDBALL,HORSESHOE COURTS,ICE SKATING,POOL INDOOR,BASEBALL JR/SOFTBALL/T-BALL,MOUNTAIN BIKE TRAIL,NATURE CENTER,POOL OUTDOOR,PAVILLION,ZOO,PLAYGROUND,PLAYGROUND PARK,ROWING CLUB,VOLLEYBALL,SENIOR CENTER,SHUFFLEBOARD,SKATE PARK,SLED HILL,SPORT ROLLER COURTS,SPRAY FEATURE,BASEBALL SR,TENNIS COURTS,TRACK,VOLLEYBALL SAND,WATER PLAYGROUND,WATER SLIDE,BOXING CENTER,WETLAND AREA,LAGOON,CAROUSEL,CROQUET,GOLF COURSE MINIATURE,MODEL TRAIN DISPLAY,MODEL YACHT BASIN,CRICKET FIELD,LOCATION,LATITUDE,LONGITUDE,NORM ACRES
124,SIMONS (ALMIRA),1640 N DRAKE AVE,60647.0,1.02,31,COMMUNITY PARK,Simons,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1640 N DRAKE AVE60647
(41.910765224265056, -87.71501213124064)",41.9107652,-87.7150121,1.0099505
382,PARK NO. 382,8116 S HALSTED ST,60620.0,0.67,21,NEIGHBORHOOD PARK,Park No. 382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8116 S HALSTED ST60620
(41.74665876685081, -87.64400366412234)",41.7466588,-87.6440037,0.8185353
1094,DOBSON,7521 S DOBSON AVE,60619.0,0.29,6,MINI-PARK,Dobson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7521 S DOBSON AVE60619
(41.75771290874223, -87.59920670615877)",41.7577129,-87.5992067,0.5385165
388,WASHINGTON (DINAH),8215 S EUCLID AVE,60617.0,0.42,8,MINI-PARK,Washington (Dinah),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8215 S EUCLID AVE60617
(41.74599224839152, -87.57701688886063)",41.7459922,-87.5770169,0.6480741
436,PERIWINKLE,100 W 66TH ST,60621.0,0.51,16,NEIGHBORHOOD PARK,Periwinkle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100 W 66TH ST60621
(41.77458348452712, -87.62779942846547)",41.7745835,-87.6277994,0.7141428
322,BIRCH,427 E 45TH ST,60653.0,0.14,3,MINI-PARK,Birch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"427 E 45TH ST60653
(41.81297972282735, -87.61570665840489)",41.8129797,-87.6157067,0.3741657
65,FERNWOOD,10436 S WALLACE ST,60628.0,12.33,34,COMMUNITY PARK,Fernwood,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"10436 S WALLACE ST60628
(41.704483995705026, -87.63796824326396)",41.704484,-87.6379682,3.51141
428,WARREN (LAURENCE),6621 N WESTERN AVE,60645.0,87.61,50,CITYWIDE PARK,Warren,0,0,0,0,0,1,12,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,3,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,"6621 N WESTERN AVE60645
(42.001903187081425, -87.68991553987459)",42.0019032,-87.6899155,9.3600214
451,SUN YAT-SEN,300 W 24TH PL,60616.0,0.32,1,MINI-PARK,Sun Yat-Sen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"300 W 24TH PL60616
(41.84827120012017, -87.63475430693008)",41.8482712,-87.6347543,0.5656854
518,PARK NO. 518,1750 W JUNEWAY TER,60626.0,1.99,49,PASSIVE PARK,Park No. 518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1750 W JUNEWAY TER60626
(42.022583471519035, -87.67364469534711)",42.0225835,-87.6736447,1.4106736
131,CRAGIN,2611 N LOCKWOOD AVE,60639.0,2.8,30,NEIGHBORHOOD PARK,Cragin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"2611 N LOCKWOOD AVE60639
(41.92807626727084, -87.7586887027268)",41.9280763,-87.7586887,1.6733201
232,ECKERSALL (WALTER HERBERT),2430 E 82ND ST,60617.0,2.95,7,NEIGHBORHOOD PARK,Eckersall,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2430 E 82ND ST60617
(41.746325150537416, -87.56549178643115)",41.7463252,-87.5654918,1.7175564
1058,PIETROWSKI (SYLVESTER),9650 S AVENUE M,60617.0,0.55,10,NEIGHBORHOOD PARK,Pietrowski,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9650 S AVENUE M60617
(41.72038840136307, -87.53775699966637)",41.7203884,-87.537757,0.7416198
373,"BLACKWELDER (I.S., GERTRUDE)",1800 W 115TH ST,60643.0,5.05,19,COMMUNITY PARK,Blackwelder,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1800 W 115TH ST60643
(41.68478426640253, -87.66639909058227)",41.6847843,-87.6663991,2.2472205
391,EDMONDS (MOLLY),711 W 60TH PL,60621.0,0.31,16,MINI-PARK,Edmonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"711 W 60TH PL60621
(41.78415225636046, -87.64278433276343)",41.7841523,-87.6427843,0.5567764
93,GLADSTONE (WILLIAM),5421 N MENARD AVE,60630.0,1.25,45,NEIGHBORHOOD PARK,Gladstone,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5421 N MENARD AVE60630
(41.979014285330436, -87.7731836878807)",41.9790143,-87.7731837,1.118034
562,PARK NO. 562,1735-37 E 96TH ST,60643.0,140.33,7,NATURE PRESERVE PARK,Park No. 562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1735-37 E 96TH ST60643
(41.696250000000134, -87.66084000000001)",41.69625,-87.66084,11.8460964
254,BEVERLY,2460 W 102ND ST,60655.0,13.06,19,COMMUNITY PARK,Beverly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"2460 W 102ND ST60655
(41.70826182926257, -87.6831926368982)",41.7082618,-87.6831926,3.6138622
201,LA FOLLETTE (ROBERT),1333 N LARAMIE AVE,60651.0,17.35,37,REGIONAL PARK,La Follette,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,"1333 N LARAMIE AVE60651
(41.90466174990119, -87.75574100187293)",41.9046617,-87.755741,4.1653331
1220,LEVIN (JOHN),462 N PINE AVE,60644.0,5.76,37,COMMUNITY PARK,Levin,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"462 N PINE AVE60644
(41.88898696426592, -87.76339047119167)",41.888987,-87.7633905,2.4
538,THILLENS,6400 N KEDZIE,60645.0,28.79,0,CITYWIDE PARK,Thillens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6400 N KEDZIE60645
(41.99744163905919, -87.70939373367877)",41.9974416,-87.7093937,5.3656314
1071,WILSON (JOHN),1122 W 34TH PL,60608.0,1.43,11,NEIGHBORHOOD PARK,Wilson (John),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1122 W 34TH PL60608
(41.831621507167334, -87.65398994915431)",41.8316215,-87.6539899,1.1958261
426,BRIGHTON,3501 S RICHMOND ST,60632.0,0.94,12,NEIGHBORHOOD PARK,Brighton,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3501 S RICHMOND ST60632
(41.82989607617184, -87.69841765816344)",41.8298961,-87.6984177,0.969536
280,SPRUCE,1437 E 54TH ST,60615.0,1.08,4,NEIGHBORHOOD PARK,Spruce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1437 E 54TH ST60615
(41.79798471680102, -87.59074419562707)",41.7979847,-87.5907442,1.0392305
550,CHICAGO WOMEN'S PARK AND GARDENS,1801 S INDIANA AVE,60616.0,3.08,2,NEIGHBORHOOD PARK,Chicago Womens' Park & Garden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1801 S INDIANA AVE60616
(41.8576063949842, -87.62230975314412)",41.8576064,-87.6223098,1.7549929
1079,KRAUSE (FRANCIS VERNON),10558 S AVENUE L,60617.0,0.12,10,MINI-PARK,Krause,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10558 S AVENUE L60617
(41.70348915878308, -87.53652862909928)",41.7034892,-87.5365286,0.3464102
165,INDIAN BOUNDARY,2500 W LUNT AVE,60645.0,13.06,50,REGIONAL PARK,Indian Boundary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,"2500 W LUNT AVE60645
(42.00866637970455, -87.6922073994986)",42.0086664,-87.6922074,3.6138622
1036,HOYNE (THOMAS),3417 S HAMILTON AVE,60608.0,2.01,12,NEIGHBORHOOD PARK,Hoyne,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"3417 S HAMILTON AVE60608
(41.831860596609225, -87.67891846917935)",41.8318606,-87.6789185,1.4177447
1223,MYRTLE GROVE,6113 N NEVA AVE,60631.0,1.01,41,PASSIVE PARK,Myrtle Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6113 N NEVA AVE60631
(41.99248187596033, -87.80555118896103)",41.9924819,-87.8055512,1.0049876
1001,RAINBOW BEACH,2873 E 75TH ST,60649.0,64.14,10,CITYWIDE PARK,Rainbow Beach,0,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,"2873 E 75TH ST60649
(41.761489999999924, -87.56871999999998)",41.76149,-87.56872,8.0087452
485,KENNICOTT (JONATHAN),4434 S LAKE PARK AVE,60653.0,2.5,4,COMMUNITY PARK,Kennicott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4434 S LAKE PARK AVE60653
(41.813990680663416, -87.5968030911139)",41.8139907,-87.5968031,1.5811388
1091,CLYBOURN (ARCHIBALD),1755 N CLYBOURN AVE,60614.0,0.46,43,MINI-PARK,Clybourn,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1755 N CLYBOURN AVE60614
(41.913068067405, -87.65243755879715)",41.9130681,-87.6524376,0.678233
1033,HARDING (GEORGE),4912 S CALUMET AVE,60615.0,0.65,3,NEIGHBORHOOD PARK,Harding (George),0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"4912 S CALUMET AVE60615
(41.80544231703133, -87.61812558678079)",41.8054423,-87.6181256,0.8062258
275,RONAN (GEORGE),3000 W ARGYLE ST,60625.0,13.86,33,NEIGHBORHOOD PARK,Ronan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3000 W ARGYLE ST60625
(41.972180578990766, -87.70386394284618)",41.9721806,-87.7038639,3.7229021
13,PALMER (POTTER),200 E 111TH ST,60628.0,40.48,9,REGIONAL PARK,Palmer,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,"200 E 111TH ST60628
(41.69271709407591, -87.61818119094679)",41.6927171,-87.6181812,6.3623895
9,HAMILTON (ALEXANDER),513 W 72ND ST,60621.0,29.95,17,REGIONAL PARK,Hamilton,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"513 W 72ND ST60621
(41.763434745308714, -87.63746326323128)",41.7634347,-87.6374633,5.4726593
1132,MORGAN (THOMAS LEEDS) FIELD,11710 S MORGAN ST,60643.0,2.84,34,NEIGHBORHOOD PARK,Morgan Field,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11710 S MORGAN ST60643
(41.68113721674697, -87.6469446831586)",41.6811372,-87.6469447,1.68523
1052,MUNROE,2617 W 105TH ST,60655.0,5.36,19,COMMUNITY PARK,Munroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"2617 W 105TH ST60655
(41.702625366216125, -87.68705830121839)",41.7026254,-87.6870583,2.3151674
66,EUCLID,9800 S PARNELL AVE,60628.0,5.63,21,COMMUNITY PARK,Euclid,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"9800 S PARNELL AVE60628
(41.71607792886038, -87.63706013315687)",41.7160779,-87.6370601,2.3727621
1053,MURRAY (DAVID),1743 W 73RD ST,60636.0,3.04,17,NEIGHBORHOOD PARK,Murray,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1743 W 73RD ST60636
(41.76116223710329, -87.66758737973429)",41.7611622,-87.6675874,1.7435596
